announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label,Incident,window_start,window_end
180,15,180,0,0,0,0,0,0,0,10,1,0.0,0,0,0,0,0,0,0,0,0,0,69,0.10043668122270742,7,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:58,2018-04-24 10:05:59
2,0,2,0,0,0,0,0,0,0,11,1,0.0,0,0,0,0,0,0,0,0,0,0,7,0.35,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:05:59,2018-04-24 10:06:00
10,5,10,0,0,0,0,0,0,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,3,0.06976744186046512,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:00,2018-04-24 10:06:01
12,14,12,0,0,0,0,0,0,0,10,2,4.0,4,0,0,0,0,4,0,0,0,0,12,0.13186813186813187,14,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:01,2018-04-24 10:06:02
6,0,6,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,8,0.2222222222222222,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:02,2018-04-24 10:06:03
23,1,23,0,0,0,0,0,0,0,9,2,2.0,2,0,0,1,0,0,0,0,0,0,36,0.2926829268292683,3,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:03,2018-04-24 10:06:04
4,2,4,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,14,0.6363636363636364,2,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:04,2018-04-24 10:06:05
2,0,2,0,0,0,0,0,0,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,10,1.0,0,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:05,2018-04-24 10:06:06
23,6,23,0,0,0,0,1,0,1,11,2,3.5,4,0,0,0,1,1,0,0,0,0,25,0.13157894736842105,1,1,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:06,2018-04-24 10:06:07
5,1,5,0,0,0,0,0,0,0,8,1,0.0,0,0,0,0,0,0,0,0,0,0,16,0.5517241379310345,1,0,normal,Amazon Route 53 Hijack (MyEtherWallet),2018-04-24 10:06:07,2018-04-24 10:06:08
